sexo,año,tramo,N,n_adopt,irpf_perdido,ss_perdido,fiscal_perdido,aporte_fondo,saldo_fondo
H,2027,3,1345147.7848689381,67257.38924344692,8388.746979267784,5451797.882615575,5460186.629594842,21694005.41525229,103177459.84952675
H,2027,4,1334108.176901176,93387.57238308234,2110146.677560956,17700471.28132729,19810617.958888244,70434401.29247883,340512898.6267405
H,2027,5,2044368.1961644685,204436.81961644685,27713584.225735664,76981796.56287177,104695380.78860743,306328948.2605624,1500901303.648429
H,2027,6,1656091.666493288,414022.916623322,123251182.72764224,230623251.49035573,353874434.21799797,917704979.9789242,4943809736.4324465
H,2027,7,2068258.352910654,827303.3411642616,554600704.0313506,734735179.004581,1289335883.0359316,2923686698.4611354,16437253769.7018
H,2027,8,837834.373129134,377025.4679081103,580287066.3484591,512549534.5004879,1092836600.848947,2039556971.1957133,8742709660.781298
H,2027,9,185402.66060888348,92701.33030444174,204444142.99795803,126023379.69035514,330467522.6883132,501477116.414908,1746591199.4915788
H,2027,10,29358.157137104114,14679.078568552057,51188027.17263202,19955561.434489504,71143588.60712153,79407943.42443919,227406347.00239992
H,2028,1,497395.15970155277,0.0,0.0,0.0,0.0,0.0,0.0
H,2028,2,715161.159699744,21454.834790992318,428.4674136504958,144842.44786738078,145270.91528103128,576362.6818252176,3381721.2689337637
H,2028,3,1316036.123740673,65801.80618703365,8207.197886968608,5333810.183209028,5342017.381095997,21224504.18924008,123493081.934609
H,2028,4,1345988.038329842,94219.16268308896,2128936.9455149476,17858089.04402827,19987025.98954322,71061600.00218862,414444926.71271634
H,2028,5,2056956.0736200477,205695.60736200478,27884226.28656548,77455799.93626694,105340026.22283243,308215120.8536574,1821948340.7956996
H,2028,6,1554464.2360781757,388616.0590195439,115687772.28988764,216470865.534226,332158637.8241136,861389257.3161242,5852987530.440125
H,2028,7,1965013.0022186441,786005.2008874577,526915601.6836819,698057947.1126707,1224973548.7963526,2777739235.9154716,19520895694.2667
H,2028,8,885826.0308309376,398621.7138739219,613526259.1413845,541908680.6561863,1155434939.7975707,2156384023.372368,11072607255.605392
H,2028,9,219388.4905980942,109694.2452990471,241920433.05442104,149124499.93726137,391044932.9916824,593401989.3697251,2377245880.4279757
H,2028,10,39221.68518229107,19610.842591145534,68385787.21040156,26660077.625588343,95045864.8359899,106086814.08106087,338802372.20790946
H,2029,1,479158.59104280296,0.0,0.0,0.0,0.0,0.0,0.0
H,2029,2,695998.043533266,20879.94130599798,416.98640589445097,140961.3189544446,141378.30536033906,560918.7432443297,3929047.1328406404
H,2029,3,1287653.6365898603,64382.68182949302,8030.196143347044,5218777.779265962,5226807.975409308,20766762.789466634,143729413.91857088
H,2029,4,1355137.5702639502,94859.62991847652,2143408.676328292,17979481.769177023,20122890.445505314,71544650.63859369,490019665.7074281
H,2029,5,2067885.9971394793,206788.59971394794,28032393.019253314,77867372.15226954,105899765.17152286,309852864.96577847,2149685409.105823
H,2029,6,1461594.4208360226,365398.60520900565,108776129.17261374,203538043.52334926,312314172.695963,809926470.7676528,6727023746.59771
H,2029,7,1864001.7992478206,745600.7196991283,499829583.0517086,662174381.5069563,1162003964.5586648,2634949961.01384,22508566718.112606
H,2029,8,923352.1634053824,415508.4735324221,639516992.013443,564865487.3944924,1204382479.4079354,2247734638.4209905,13532401736.979282
H,2029,9,253690.58367971267,126845.29183985633,279745467.4960878,172440593.06344372,452186060.5595315,686182290.7368867,3112197947.6498075
H,2029,10,50857.19426170572,25428.59713085286,88673121.7369867,34569058.94112071,123242180.67810741,137558539.0390616,483944576.9540228
H,2030,1,461691.02753526764,0.0,0.0,0.0,0.0,0.0,0.0
H,2030,2,676787.0833339337,20303.61250001801,405.4767338174517,137070.50013212158,137475.97686593904,545436.2462004838,4471465.1292093
H,2030,3,1259407.2772122982,62970.36386061492,7854.043333544869,5104297.092475703,5112151.135809248,20311216.803969063,163887124.99932733
H,2030,4,1331974.1295741815,93238.18907019272,2106771.2744603804,17672157.50282081,19778928.777281187,70321734.00776447,565618530.7419868
H,2030,5,2028219.526732623,202821.95267326233,27494671.844261207,76373709.63053948,103868381.47480068,303909225.173427,2476909740.395028
H,2030,6,1373845.1685099192,343461.2921274798,102245573.3154254,191318298.50757682,293563871.8230022,761301187.8329182,7568094591.146859
H,2030,7,1763400.2767500207,705360.1107000083,472853419.6892412,626436352.1952249,1099289771.8844662,2492739809.7733865,25399327327.80994
H,2030,8,950731.401937545,427829.1308718953,658479949.9872794,581614878.9385833,1240094828.9258628,2314384466.3646045,16099067039.701122
H,2030,9,287660.789630811,143830.3948154055,317204528.87270576,195531093.2141719,512735622.08687764,778064903.7934176,3952195836.038201
H,2030,10,64204.31878340304,32102.15939170152,111944779.0655617,43641473.198004976,155586252.26356667,173659841.44534853,668073480.7402893
H,2031,1,444796.331239729,0.0,0.0,0.0,0.0,0.0,0.0
H,2031,2,657706.7172939207,19731.20151881762,394.0453033240766,133206.1307015985,133600.17600492257,530058.9976015164,5008989.720972638
H,2031,3,1231201.2575237562,61560.06287618782,7678.1420942007635,4989979.899863303,4997658.041957503,19856321.400840133,183965535.90582758
H,2031,4,1307162.1992458275,91501.35394720793,2067526.4716379712,17342961.66412095,19410488.13575892,69011785.16864738,641157997.4477162
H,2031,5,1986330.9219264158,198633.09219264158,26926827.275179483,74796371.42916071,101723198.70434019,297632619.8738229,2803292157.1540384
H,2031,6,1291146.1879007227,322786.5469751807,96090873.44181478,179801841.9074324,275892715.3492472,715474457.4171185,8378373362.467378
H,2031,7,1661768.320630436,664707.3282521744,445600946.93278766,590332268.1154859,1035933215.0482736,2349073039.213871,28190154900.866833
H,2031,8,968626.8659765632,435882.0896894534,670874412.0208222,592562522.1208656,1263436934.1416879,2357947752.384067,18750850467.575188
H,2031,9,320546.31164658314,160273.15582329157,353467505.59307796,217884303.32290864,571351808.9159865,867013663.741678,4895931315.016375
H,2031,10,79227.88661604899,39613.94330802449,138139434.09298614,53853412.91375374,191992847.00673988,214295587.71908927,896416384.0292519
H,2032,1,428511.9716966628,0.0,0.0,0.0,0.0,0.0,0.0
H,2032,2,638658.9611894772,19159.768835684317,382.63341009802,129348.36580045825,129730.99921055627,514708.03000182344,5541566.1268034885
H,2032,3,1202927.6990577634,60146.38495288818,7501.819662686031,4875388.9769083755,4882890.796571062,19400336.759323988,203962425.88182944
H,2032,4,1280599.6781381397,89641.97746966979,2025512.7754224043,16990539.611571677,19016052.386994082,67609413.67926447,716548014.7793252
H,2032,5,1941681.494752544,194168.1494752544,26321556.823929325,73115072.95964019,99436629.78356951,290942331.8463191,3128420421.243008
H,2032,6,1213728.0089079512,303432.0022269878,90329186.260764,169020776.74961936,259349963.01038337,672574025.1282432,9160191118.422123
H,2032,7,1558580.6102920563,623432.2441168226,417931300.7686556,553675512.5801598,971606813.3488154,2203207056.9798746,30877224280.215626
H,2032,8,976688.8660326197,439509.9897146789,676458181.9298531,597494492.5775585,1273952674.5074115,2377573240.3605266,21464788213.36605
H,2032,9,351784.45468310296,175892.22734155148,387913911.9228204,239117743.8128362,627031655.7356566,951506593.0268568,5940529119.539279
H,2032,10,95755.25524968626,47877.62762484313,166956072.37037703,65087528.14035874,232043600.51073578,258998814.3993514,1173809408.3875868
H,2033,1,412859.9576254845,0.0,0.0,0.0,0.0,0.0,0.0
H,2033,2,619495.6309359967,18584.868928079897,371.1522740781522,125467.19352822451,125838.34580230266,499263.9188839383,6069033.625151446
H,2033,3,1136191.1834808483,56809.55917404242,7085.6306388850135,4604910.150412136,4611995.781051021,18324036.930705734,223330752.05029264
H,2033,4,1251528.7598204205,87607.01318742945,1979531.570326826,16604837.039835837,18584368.610162664,66074611.05817029,791658525.5786515
H,2033,5,1897673.4505925118,189767.34505925118,25724981.001273144,71457926.11641815,97182907.1176913,284348148.9061622,3452367222.242671
H,2033,6,1143921.4308462525,285980.3577115631,85133976.67040844,159299684.41292924,244433661.08333766,633891477.7677115,9917161256.586395
H,2033,7,1456555.3922359785,582622.1568943914,390573375.35125136,517431724.78357196,908005100.1348233,2058984371.9761515,33460553093.93467
H,2033,8,976410.8093758989,439384.8642191545,676265598.900579,597324389.9719149,1273589988.8724937,2376896361.479938,24221244193.27754
H,2033,9,381011.131207387,190505.5656036935,420142267.3038191,258983934.19333476,679126201.4971539,1030558907.6897403,7082067748.622505
H,2033,10,113740.25387922538,56870.12693961269,198314191.82757834,77312435.2888181,275626627.1163964,307644638.6925288,1505038795.509631
H,2034,1,397675.4834997746,0.0,0.0,0.0,0.0,0.0,0.0
H,2034,2,600212.9851609037,18006.38955482711,359.599653733024,121561.85614022001,121921.45579395304,483723.6490008754,6591226.283004769
H,2034,3,1072468.1167709143,53623.40583854572,6688.234390394204,4346644.639313042,4353332.873703436,17296336.800034598,242103265.04425102
H,2034,4,1220077.4541663965,85405.42179164776,1929785.32839542,16187552.338244103,18117337.66663952,64414135.60200941,866363917.9059767
H,2034,5,1853293.721033533,185329.37210335332,25123366.58790297,69786783.25730193,94910149.84520489,277698272.477153,3775060056.718039
H,2034,6,1080904.1242888318,270226.03107220796,80444044.51106201,150524049.32431698,230968093.835379,598971130.529289,10652515370.421274
H,2034,7,1354353.8705523491,541741.5482209397,363168174.3525226,481125306.28266925,844293480.6351919,1914512464.4466078,35938236602.07071
H,2034,8,967612.7411372487,435425.73351176194,670172025.550667,591942125.9769658,1262114151.5276327,2355479048.005227,26999824675.28399
H,2034,9,407911.6230582348,203955.8115291174,449805530.9517552,277268951.7181278,727074482.669883,1103319358.0479133,8315698469.408612
H,2034,10,132994.8803318181,66497.44016590905,231885997.35513115,90400344.01818605,322286341.3733172,359724552.32150155,1894450380.328604
H,2035,1,382376.3154353725,0.0,0.0,0.0,0.0,0.0,0.0
H,2035,2,558499.9491285009,16754.998473855027,334.6085361060303,113113.66489693424,113448.27343304026,450106.2790016414,7092156.132284464
H,2035,3,1009260.2132751497,50463.010663757486,6294.050854963852,4090467.051750532,4096761.1026054956,16276945.015616305,260277789.09066492
H,2035,4,1186035.0019093456,83022.4501336542,1875940.693627422,15735889.228044517,17611829.92167194,62616860.250004135,940525852.3902996
H,2035,5,1808407.3192924983,180840.73192924983,24514883.694472015,68096561.38154072,92611445.07601273,270972476.08571565,4096405766.4728355
H,2035,6,1023738.7717366758,255934.69293416894,76189631.87458345,142563342.954671,218752974.82925445,567293579.2313898,11369035738.587484
H,2035,7,1251091.6552841908,500436.6621136763,335478549.7913731,444442083.36098355,779920633.1523566,1768541162.1630836,38307069666.240395
H,2035,8,950766.4491529716,427844.9021188372,658504223.8133193,581636319.2548659,1240140543.0681853,2314469782.502062,29780978025.554
H,2035,9,432007.90129082627,216003.95064541313,476376578.7270344,293647866.72861075,770024445.4556451,1168494971.4114268,9635181800.397894
H,2035,10,153308.42349447354,76654.21174723677,267304099.19737118,104208028.0850515,371512127.28242266,414668623.867852,2345880178.7432632
H,2036,1,367187.0057421791,0.0,0.0,0.0,0.0,0.0,0.0
H,2036,2,519400.55819932773,15582.016745979832,311.1833057512861,105194.81833277969,105506.00163853097,418595.2978640022,7573337.8420256255
H,2036,3,947892.5067104143,47394.625335520715,5911.343342183258,3841747.6645768792,3847659.0079190624,15287231.191222878,277870914.48059595
H,2036,4,1151124.635468257,80578.724482778,1820723.2869481468,15272710.942122899,17093434.229071047,60773763.26450289,1014091500.1756675
H,2036,5,1764116.3833330518,176411.6383333052,23914472.97273819,66428762.093718596,90343235.0664568,264335904.52517784,4416468927.661916
H,2036,6,972938.171923958,243234.5429809895,72408902.74172752,135488976.39422747,207897879.13595498,539142985.6517701,12069822896.287992
H,2036,7,1148183.5510325683,459273.42041302734,307883879.62448466,407884656.0492883,715768535.6737729,1623070430.6459568,40565827927.22878
H,2036,8,926336.0070437422,416851.203169684,641583612.7285607,566690869.2562459,1208274481.9848065,2254998268.6667223,32545989036.824715
H,2036,9,453022.1818398076,226511.0909199038,499549097.1981598,307931861.6176087,807480958.8157685,1225334397.4403114,11033415615.70779
H,2036,10,174567.99870669917,87283.99935334959,304371674.9501646,118658756.62490721,423030431.5750718,472171522.9018799,2862915084.7353334
H,2037,1,351957.68161237944,0.0,0.0,0.0,0.0,0.0,0.0
H,2037,2,482062.3701268205,14461.871103804615,288.8132473989286,97632.6702966291,97921.48354402803,388503.70533260715,8035705.7810930945
H,2037,3,887126.3526886118,44356.3176344306,5532.387292352806,3595466.331360372,3600998.7186527248,14307218.965620859,294881920.6852124
H,2037,4,1114734.6502224845,78031.42551557392,1763165.5807648145,14789901.601828726,16553067.182593541,58852549.6266541,1086976055.4821224
H,2037,5,1720556.0794236464,172055.60794236464,23323966.74516292,64788475.15320461,88112441.89836752,257808811.16327095,4735334670.927997
H,2037,6,927176.0769239604,231794.0192309901,69003153.86504401,129116259.61928149,198119413.4843255,513784424.09056646,12757318191.44076
H,2037,7,1046207.7160966746,418483.0864386698,280539196.22454065,371658411.2814025,652197607.5059432,1478917553.5419133,42714097828.82457
H,2037,8,894428.052557904,402492.62365105684,619484049.9801208,547171012.178171,1166655062.1582918,2177324096.9027567,35276108278.816414
H,2037,9,470768.8756173363,235384.43780866815,519118436.6481904,319994786.28562075,839113222.9338112,1273335654.769771,12502674750.703566
H,2037,10,196566.14473018725,98283.07236509363,342727001.2446307,133611512.4251607,476338513.6697914,531672108.26621044,3448629021.1141286
H,2038,1,336791.3659198058,0.0,0.0,0.0,0.0,0.0,0.0
H,2038,2,446139.7006626249,13384.191019878746,267.2912546732503,90357.2089428422,90624.50019751546,359552.9075580226,8479964.090335032
H,2038,3,827538.8562983697,41376.94281491849,5160.781706729753,3353962.0220904895,3359122.8037972194,13346215.65883759,311318264.1614223
H,2038,4,1077170.4228868932,75401.92960208253,1703750.5866288373,14291512.836456412,15995263.42308525,56869341.736764275,1159108906.1580937
H,2038,5,1677481.3801088368,167748.1380108837,22740043.40410387,63166473.91786903,85906517.3219729,251354480.98806018,5053054084.953966
H,2038,6,885067.0991977312,221266.7747994328,65869280.65426984,123252266.96921203,189121547.62348187,490450197.2823316,13433261695.085987
H,2038,7,945068.9356019009,378027.5742407604,253418967.85058722,335729524.5992548,589148492.449842,1335947935.2565503,44751322492.645294
H,2038,8,855716.2132583038,385072.29596623674,592672092.4135915,523488843.1850763,1116160935.5986679,2083087092.258954,37953953761.38289
H,2038,9,484994.57727757806,242497.28863878903,534805166.14237005,329664394.02373356,864469560.1661036,1311813332.620393,14034414733.610477
H,2038,10,219020.44878796127,109510.22439398064,381877671.3934469,148874331.61374334,530752003.0071902,592406509.8816776,4105368816.649259
H,2039,1,321728.76709436486,0.0,0.0,0.0,0.0,0.0,0.0
H,2039,2,411508.88243736635,12345.26647312099,246.54323596959654,83343.38777069873,83589.93100666832,331643.23853392224,8906740.435693104
H,2039,3,768986.4833392622,38449.32416696311,4795.631462782742,3116653.0018390957,3121448.6333018783,12401906.408702286,327185483.4879313
H,2039,4,1038276.1336948437,72679.32935863906,1642231.8458432634,13775477.284938684,15417709.130781947,54815913.071555324,1230410384.6489947
H,2039,5,1634946.398409515,163494.6398409515,22163436.509085707,61564796.042951025,83728232.55203673,244981022.31624112,5369686889.048182
H,2039,6,844491.8252688523,211122.95631721307,62849550.16325075,117601854.13705021,180451404.30030096,467965855.5626565,14098288883.783827
H,2039,7,845901.3753564396,338360.55014257587,226827319.54330242,300500900.9479308,527328220.4912332,1195764830.7616625,46678564953.5956
H,2039,8,810070.0155294369,364531.5069882466,561057373.538882,495564544.3642137,1056621917.9030957,1971969640.2036185,40561544102.13977
H,2039,9,495304.41576982406,247652.20788491203,546173860.0331286,336672279.92239094,882846139.9555196,1339699383.77422,15618870014.133461
H,2039,10,241754.7031001009,120877.35155005044,421516454.64692867,164327440.82882535,585843895.475754,653898120.9451528,4835034467.240915
H,2040,1,286364.54258707614,0.0,0.0,0.0,0.0,0.0,0.0
H,2040,2,376217.5768347874,11286.52730504362,225.39950601335173,76195.79729744168,76421.19680345502,303201.2695226918,9315288.193842543
H,2040,3,711383.1765159282,35569.15882579641,4436.399881282454,2883190.48589576,2887626.8857770422,11472903.317578284,342487984.36370844
H,2040,4,998908.3457406858,69923.58420184802,1579964.1764048324,13253159.52078966,14833123.697194492,52737485.98238101,1300843154.327107
H,2040,5,1593140.7939015508,159314.0793901551,21596717.097282622,59990583.26295478,81587300.3602374,238716853.81452596,5685321151.916593
H,2040,6,802491.3191011082,200622.82977527706,59723749.7229313,111752966.96937534,171476716.69230664,444691737.075369,14751464539.637264
H,2040,7,751385.0683032481,300554.02732129925,201482898.54271778,266924604.4065197,468407502.94923747,1062156730.3373622,48500753973.141174
H,2040,8,758402.5634581468,341281.15355616604,525272312.4937351,463956711.8888512,989229024.3825862,1846194528.2774355,43082869829.41345
H,2040,9,501705.6031892838,250852.8015946419,553232471.122327,341023346.2446455,894255817.3669724,1357013315.5063746,17246139392.2477
H,2040,10,264514.01036819053,132257.00518409527,461198919.50426376,179797579.2395494,640996498.7438132,715457495.2438817,5638855794.5275545
H,2041,1,252739.39395901933,0.0,0.0,0.0,0.0,0.0,0.0
