sexo,tramo,n,pension_sin_media,pension_con_media,ganancia_media,pension_sin_p10,pension_sin_p50,pension_sin_p90,pension_con_p10,pension_con_p50,pension_con_p90,n_adopt,ahorro_publico_anual_medio_por_adoptante,ganancia_neta_anual_media_por_adoptante
H,1,601527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11969,0.0,0.0
H,2,810264,293.94171142578125,295.92449951171875,1.9828115701675415,95.55931854248047,272.16455078125,524.5570068359375,96.0711441040039,273.73333740234375,528.5230712890625,24084,23.462127685546875,66.70822143554688
H,3,1472976,1910.5330810546875,1932.4173583984375,21.883100509643555,1314.159423828125,1844.958251953125,2603.662109375,1322.4364013671875,1862.93359375,2640.74072265625,74148,152.8949432373047,434.7154541015625
H,4,1251709,5289.81396484375,5384.986328125,95.17316436767578,4495.7001953125,5202.49951171875,6214.0859375,4512.09130859375,5269.865234375,6402.14990234375,87679,423.0619812011719,1358.69580078125
H,5,1980507,9990.720703125,10246.845703125,256.12249755859375,8799.986328125,9859.123046875,11374.4970703125,8835.7353515625,10010.357421875,11941.326171875,197619,799.23974609375,2566.81982421875
H,6,1934558,16162.92578125,17200.490234375,1037.5657958984375,14970.4384765625,16030.857421875,17550.61328125,15074.177734375,16512.369140625,20499.9453125,483327,1293.1177978515625,4152.94677734375
H,7,2333331,28481.310546875,31611.771484375,3130.47216796875,23813.6171875,28222.07421875,33540.015625,24712.142578125,30964.9140625,39566.75,932440,2278.613525390625,7833.66845703125
H,8,504617,64855.48046875,69860.0078125,5004.53125,50849.359375,64095.890625,79989.484375,54066.30078125,69239.59375,86479.3671875,227730,3225.6005859375,11089.322265625
H,9,68079,235258.65625,240783.859375,5525.19873046875,140982.875,230691.28125,337269.21875,146380.046875,236038.578125,343084.1875,33920,3225.60009765625,11089.328125
H,10,5961,1113396.0,1118910.0,5513.95654296875,618429.0,1087352.875,1658631.375,624253.625,1092115.75,1663531.0,2964,3225.599853515625,11089.3037109375
M,1,534829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10692,0.0,0.0
M,2,724288,293.60540771484375,295.1227722167969,1.5174157619476318,94.7358169555664,271.9344482421875,524.1806030273438,95.12476348876953,273.1437072753906,526.995361328125,21787,23.520057678222656,50.445037841796875
M,3,1317047,1910.5869140625,1927.0531005859375,16.465808868408203,1314.626708984375,1845.42919921875,2603.337890625,1321.98046875,1859.675537109375,2630.4521484375,66144,152.86700439453125,327.86407470703125
M,4,1125706,5290.1318359375,5364.6943359375,74.56361389160156,4495.7353515625,5202.57275390625,6214.4482421875,4512.1328125,5262.79296875,6350.4873046875,78594,423.0887451171875,1067.9786376953125
M,5,1791664,9992.060546875,10193.96484375,201.90093994140625,8799.1552734375,9860.43359375,11378.6708984375,8834.98046875,10010.1640625,11783.9052734375,179315,799.1848754882812,2017.336669921875
M,6,1760971,16162.6669921875,16978.541015625,815.8743286132812,14970.732421875,16030.5078125,17548.7578125,15074.5283203125,16512.60546875,19607.86328125,440185,1293.03076171875,3263.92431640625
M,7,2150424,28487.193359375,30998.67578125,2511.498291015625,23821.224609375,28234.359375,33538.3046875,24726.470703125,30500.072265625,37988.47265625,859437,2279.169677734375,6284.10009765625
M,8,468327,64886.73046875,68884.7109375,3997.9521484375,50876.3359375,64087.5859375,80068.1875,53799.34375,68223.203125,84995.8125,210528,3225.6005859375,8893.5888671875
M,9,62493,234983.21875,239436.203125,4452.98388671875,140759.625,230131.921875,336984.59375,145334.765625,234543.90625,341518.21875,31290,3225.60009765625,8893.587890625
M,10,5619,1120813.0,1125298.5,4485.57763671875,603991.25,1091890.625,1667523.875,609472.4375,1097030.5,1670469.25,2834,3225.60009765625,8893.599609375
